x,y,z,t,u,u_t,u_x,u_y,u_z,u_xx,u_yy,u_zz
0.326268644,0.130757928,0.078788185,0.149197233,0.28644472,-1.48252508,0.115859006,0.239531922,0.204649039,-0.311914154,-0.158473614,-0.212565422
0.757160888,0.652543817,0.319731655,0.232042744,0.325078484,-1.258594516,-0.008469548,0.105048251,0.139026534,-0.336967778,-0.303242378,-0.277730871
0.679390578,0.789786465,0.403165669,0.400504751,0.192295598,-0.637381991,0.032681761,0.075561277,0.07350916,-0.142250458,-0.118113613,-0.119704444
0.030415017,0.524242479,0.690421797,0.266224684,0.228165817,-0.894565382,0.162610022,0.112311019,0.016752035,-0.105105194,-0.165711355,-0.219764738
0.171969907,0.200115525,0.023266069,0.628856114,0.04141806,-0.131510295,0.022547701,0.036702614,0.026051702,-0.011288808,0.008960403,-0.00717726
0.623446888,0.168581747,0.69910498,0.861578586,0.033082744,-0.091793224,0.010984118,0.030574083,0.009858252,-0.011234031,0.01337468,-0.011943335
0.638340586,0.112870297,0.987543433,0.044223318,0.542799885,-2.472403829,-0.086816441,0.438685118,-0.408931062,-0.908542808,-0.567887728,-0.614350559
0.181487019,0.613194986,0.598506804,0.236935697,0.290824784,-1.178137837,0.165872253,0.107707896,0.041338675,-0.204022073,-0.258737539,-0.292751506
0.610328237,0.788808249,0.417790173,0.623042439,0.094808368,-0.280843608,0.027839195,0.051977905,0.038293566,-0.046123083,-0.025801228,-0.038830726
0.365348713,0.594444822,0.856507615,0.533177253,0.114554046,-0.356938282,0.04884109,0.071079814,0.012920588,-0.052310363,-0.029029754,-0.071676859
0.496142715,0.434557411,0.655973532,0.918104005,0.033617397,-0.091043787,0.013266772,0.027364234,0.01096685,-0.009154128,0.007884493,-0.010812062
0.223607291,0.571130501,0.451865637,0.882307946,0.033823713,-0.093118129,0.017306051,0.025293456,0.013896844,-0.006081022,0.00397877,-0.009226068
0.98315932,0.724002928,0.40865679,0.852837252,0.051974752,-0.137042932,0.008711131,0.034914269,0.02224877,-0.022104095,-0.000110294,-0.014040103
0.954726324,0.586351153,0.475954899,0.62976127,0.089943721,-0.262370109,0.008947481,0.059970474,0.033421441,-0.050228171,-0.01113261,-0.038699459
0.798658027,0.791474089,0.908112836,0.708842127,0.089408032,-0.24090251,0.019123979,0.052507202,0.014020877,-0.042532383,-0.01578669,-0.044424177
0.498451648,0.793008518,0.77571283,0.794596167,0.063095155,-0.171266801,0.024044154,0.039145711,0.015670661,-0.021038051,-0.005913825,-0.026308689
0.715395943,0.496928973,0.228126828,0.775985385,0.047298626,-0.134886609,0.012921778,0.035844243,0.024153497,-0.019520168,0.004113446,-0.010716126
